Linear_Index,freq_key,freq_label,age_key,age_label,sex_key,sex_label,icd10_key,icd10_label,isced97_key,isced97_label,geo_key,geo_label,time_key,time_label,Value,Status_Code,Status_Label
685,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),SI,Slovenia,2008,2008,2.9,,
686,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),SK,Slovakia,2008,2008,4.4,,
687,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),TR,Türkiye,2008,2008,1,,
698,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED5_6,First and second stage of tertiary education (levels 5 and 6),AT,Austria,2008,2008,1.6,,
688,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED5_6,First and second stage of tertiary education (levels 5 and 6),BE,Belgium,2008,2008,1.9,,
689,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED5_6,First and second stage of tertiary education (levels 5 and 6),BG,Bulgaria,2008,2008,2.6,,
694,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED5_6,First and second stage of tertiary education (levels 5 and 6),CY,Cyprus,2008,2008,0.5,,
692,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED5_6,First and second stage of tertiary education (levels 5 and 6),EL,Greece,2008,2008,1.3,,
693,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED5_6,First and second stage of tertiary education (levels 5 and 6),ES,Spain,2008,2008,0.8,,
696,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED5_6,First and second stage of tertiary education (levels 5 and 6),HU,Hungary,2008,2008,2.4,,
695,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED5_6,First and second stage of tertiary education (levels 5 and 6),LV,Latvia,2008,2008,2.2,,
697,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED5_6,First and second stage of tertiary education (levels 5 and 6),MT,Malta,2008,2008,1.7,,
699,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED5_6,First and second stage of tertiary education (levels 5 and 6),PL,Poland,2008,2008,2.3,,
700,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED5_6,First and second stage of tertiary education (levels 5 and 6),RO,Romania,2008,2008,1.6,,
702,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED5_6,First and second stage of tertiary education (levels 5 and 6),SK,Slovakia,2008,2008,3,,
703,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,ED5_6,First and second stage of tertiary education (levels 5 and 6),TR,Türkiye,2008,2008,2,,
650,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,TOTAL,All ISCED 1997 levels,AT,Austria,2008,2008,5,,
640,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,TOTAL,All ISCED 1997 levels,BE,Belgium,2008,2008,4.7,,
641,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,TOTAL,All ISCED 1997 levels,BG,Bulgaria,2008,2008,4.3,,
646,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,TOTAL,All ISCED 1997 levels,CY,Cyprus,2008,2008,4.1,,
642,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,TOTAL,All ISCED 1997 levels,CZ,Czechia,2008,2008,4.8,,
643,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,TOTAL,All ISCED 1997 levels,DE,Germany,2008,2008,5.2,,
644,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,TOTAL,All ISCED 1997 levels,EL,Greece,2008,2008,6.5,,
645,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,TOTAL,All ISCED 1997 levels,ES,Spain,2008,2008,5.1,,
648,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,TOTAL,All ISCED 1997 levels,HU,Hungary,2008,2008,6.3,,
647,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,TOTAL,All ISCED 1997 levels,LV,Latvia,2008,2008,3.9,,
649,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,TOTAL,All ISCED 1997 levels,MT,Malta,2008,2008,5.5,,
651,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,TOTAL,All ISCED 1997 levels,PL,Poland,2008,2008,5.8,,
652,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,TOTAL,All ISCED 1997 levels,RO,Romania,2008,2008,3.4,,
653,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,TOTAL,All ISCED 1997 levels,SI,Slovenia,2008,2008,4.5,,
654,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,TOTAL,All ISCED 1997 levels,SK,Slovakia,2008,2008,5.8,,
655,A,Annual,TOTAL,Total,F,Females,E10-E14,Diabetes mellitus,TOTAL,All ISCED 1997 levels,TR,Türkiye,2008,2008,3.7,,
730,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",AT,Austria,2008,2008,7.6,,
720,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2008,2008,9.2,,
721,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2008,2008,1.3,,
726,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",CY,Cyprus,2008,2008,5,,
722,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",CZ,Czechia,2008,2008,6.4,,
724,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",EL,Greece,2008,2008,5.2,,
725,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",ES,Spain,2008,2008,8.8,,
728,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",HU,Hungary,2008,2008,7,,
727,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",LV,Latvia,2008,2008,1.9,,
729,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",MT,Malta,2008,2008,9.4,,
731,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",PL,Poland,2008,2008,4.3,,
732,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",RO,Romania,2008,2008,0.5,,
733,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",SI,Slovenia,2008,2008,6.1,,
734,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",SK,Slovakia,2008,2008,4.1,,
735,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",TR,Türkiye,2008,2008,2.8,,
746,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),AT,Austria,2008,2008,5,,
736,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),BE,Belgium,2008,2008,7.6,,
737,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),BG,Bulgaria,2008,2008,1.6,,
742,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),CY,Cyprus,2008,2008,1.9,,
738,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),CZ,Czechia,2008,2008,3.7,,
739,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),DE,Germany,2008,2008,5.7,,
740,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),EL,Greece,2008,2008,1.6,,
741,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),ES,Spain,2008,2008,3.3,,
744,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),HU,Hungary,2008,2008,4.5,,
743,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),LV,Latvia,2008,2008,2.4,,
745,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),MT,Malta,2008,2008,3.9,,
747,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),PL,Poland,2008,2008,3.5,,
748,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),RO,Romania,2008,2008,0.6,,
749,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),SI,Slovenia,2008,2008,2.9,,
750,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),SK,Slovakia,2008,2008,2.1,,
751,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),TR,Türkiye,2008,2008,1.5,,
762,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED5_6,First and second stage of tertiary education (levels 5 and 6),AT,Austria,2008,2008,4.2,,
752,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED5_6,First and second stage of tertiary education (levels 5 and 6),BE,Belgium,2008,2008,4.9,,
753,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED5_6,First and second stage of tertiary education (levels 5 and 6),BG,Bulgaria,2008,2008,1,,
758,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED5_6,First and second stage of tertiary education (levels 5 and 6),CY,Cyprus,2008,2008,0.5,,
754,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED5_6,First and second stage of tertiary education (levels 5 and 6),CZ,Czechia,2008,2008,0.7,,
756,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED5_6,First and second stage of tertiary education (levels 5 and 6),EL,Greece,2008,2008,1.4,,
757,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED5_6,First and second stage of tertiary education (levels 5 and 6),ES,Spain,2008,2008,2.7,,
760,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED5_6,First and second stage of tertiary education (levels 5 and 6),HU,Hungary,2008,2008,1.5,,
759,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED5_6,First and second stage of tertiary education (levels 5 and 6),LV,Latvia,2008,2008,1.6,,
761,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED5_6,First and second stage of tertiary education (levels 5 and 6),MT,Malta,2008,2008,1.7,,
763,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED5_6,First and second stage of tertiary education (levels 5 and 6),PL,Poland,2008,2008,1.9,,
764,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED5_6,First and second stage of tertiary education (levels 5 and 6),RO,Romania,2008,2008,0.6,,
765,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED5_6,First and second stage of tertiary education (levels 5 and 6),SI,Slovenia,2008,2008,1.9,,
766,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED5_6,First and second stage of tertiary education (levels 5 and 6),SK,Slovakia,2008,2008,1.2,,
767,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,ED5_6,First and second stage of tertiary education (levels 5 and 6),TR,Türkiye,2008,2008,3.2,,
714,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,TOTAL,All ISCED 1997 levels,AT,Austria,2008,2008,5.7,,
704,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,TOTAL,All ISCED 1997 levels,BE,Belgium,2008,2008,7.4,,
705,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,TOTAL,All ISCED 1997 levels,BG,Bulgaria,2008,2008,1.4,,
710,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,TOTAL,All ISCED 1997 levels,CY,Cyprus,2008,2008,2.8,,
706,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,TOTAL,All ISCED 1997 levels,CZ,Czechia,2008,2008,3.9,,
707,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,TOTAL,All ISCED 1997 levels,DE,Germany,2008,2008,4.7,,
708,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,TOTAL,All ISCED 1997 levels,EL,Greece,2008,2008,3.2,,
709,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,TOTAL,All ISCED 1997 levels,ES,Spain,2008,2008,6.2,,
712,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,TOTAL,All ISCED 1997 levels,HU,Hungary,2008,2008,4.8,,
711,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,TOTAL,All ISCED 1997 levels,LV,Latvia,2008,2008,2.1,,
713,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,TOTAL,All ISCED 1997 levels,MT,Malta,2008,2008,5.6,,
715,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,TOTAL,All ISCED 1997 levels,PL,Poland,2008,2008,3.4,,
716,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,TOTAL,All ISCED 1997 levels,RO,Romania,2008,2008,0.6,,
717,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,TOTAL,All ISCED 1997 levels,SI,Slovenia,2008,2008,3.8,,
718,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,TOTAL,All ISCED 1997 levels,SK,Slovakia,2008,2008,2.3,,
719,A,Annual,TOTAL,Total,F,Females,F32_F33,Depressive disorders,TOTAL,All ISCED 1997 levels,TR,Türkiye,2008,2008,2.6,,
794,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",AT,Austria,2008,2008,30.4,,
784,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",BE,Belgium,2008,2008,30.5,,
785,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",BG,Bulgaria,2008,2008,32.8,,
790,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",CY,Cyprus,2008,2008,32.3,,
786,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",CZ,Czechia,2008,2008,29,,
788,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",EL,Greece,2008,2008,36.9,,
789,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",ES,Spain,2008,2008,26.8,,
792,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",HU,Hungary,2008,2008,45.5,,
791,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",LV,Latvia,2008,2008,30.8,,
793,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",MT,Malta,2008,2008,35.9,,
795,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",PL,Poland,2008,2008,38.5,,
796,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",RO,Romania,2008,2008,24.6,,
797,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",SI,Slovenia,2008,2008,38.2,,
798,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",SK,Slovakia,2008,2008,40.7,,
799,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED0-2,"Pre-primary, primary and lower secondary education (levels 0-2)",TR,Türkiye,2008,2008,11.6,,
810,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),AT,Austria,2008,2008,15.3,,
800,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),BE,Belgium,2008,2008,18.7,,
801,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),BG,Bulgaria,2008,2008,20.2,,
806,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),CY,Cyprus,2008,2008,8.5,,
802,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),CZ,Czechia,2008,2008,19.4,,
803,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),DE,Germany,2008,2008,22.4,,
804,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),EL,Greece,2008,2008,7.8,,
805,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),ES,Spain,2008,2008,7.1,,
808,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),HU,Hungary,2008,2008,25.8,,
807,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),LV,Latvia,2008,2008,22.7,,
809,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),MT,Malta,2008,2008,7.7,,
811,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),PL,Poland,2008,2008,21,,
812,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),RO,Romania,2008,2008,12.5,,
813,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),SI,Slovenia,2008,2008,15.4,,
814,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),SK,Slovakia,2008,2008,24.4,,
815,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),TR,Türkiye,2008,2008,2.4,,
826,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED5_6,First and second stage of tertiary education (levels 5 and 6),AT,Austria,2008,2008,9.3,,
816,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED5_6,First and second stage of tertiary education (levels 5 and 6),BE,Belgium,2008,2008,8.9,,
817,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED5_6,First and second stage of tertiary education (levels 5 and 6),BG,Bulgaria,2008,2008,14.9,,
822,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED5_6,First and second stage of tertiary education (levels 5 and 6),CY,Cyprus,2008,2008,3.7,,
818,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED5_6,First and second stage of tertiary education (levels 5 and 6),CZ,Czechia,2008,2008,7.2,,
819,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED5_6,First and second stage of tertiary education (levels 5 and 6),DE,Germany,2008,2008,15.2,,
820,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED5_6,First and second stage of tertiary education (levels 5 and 6),EL,Greece,2008,2008,4.5,,
821,A,Annual,TOTAL,Total,F,Females,I10-I15,Hypertensive diseases,ED5_6,First and second stage of tertiary education (levels 5 and 6),ES,Spain,2008,2008,6,,
